response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0353,0.0001,0.0000,0.0000,0.0350,0.0001,200,0.9799
0.0433,0.0002,0.0000,0.0001,0.0428,0.0001,200,0.9755
0.0468,0.0001,0.0000,0.0000,0.0465,0.0001,200,0.9812
0.0436,0.0002,0.0000,0.0000,0.0433,0.0001,200,0.9898
0.0379,0.0001,0.0000,0.0000,0.0376,0.0000,200,0.9956
0.0416,0.0002,0.0000,0.0000,0.0412,0.0001,200,1.0057
0.0390,0.0002,0.0000,0.0000,0.0386,0.0001,200,1.0152
0.0482,0.0001,0.0000,0.0000,0.0480,0.0001,200,1.0060
0.0419,0.0002,0.0000,0.0001,0.0416,0.0000,200,1.0125
0.0372,0.0002,0.0000,0.0001,0.0368,0.0000,200,1.0188
0.0393,0.0002,0.0000,0.0001,0.0389,0.0001,200,1.0280
0.0402,0.0001,0.0000,0.0001,0.0399,0.0001,200,1.0336
0.0409,0.0002,0.0000,0.0001,0.0405,0.0001,200,1.0335
0.0366,0.0001,0.0000,0.0000,0.0362,0.0001,200,1.0560
0.0455,0.0002,0.0000,0.0001,0.0451,0.0000,200,1.0473
0.0389,0.0001,0.0000,0.0000,0.0388,0.0000,200,1.0544
0.0420,0.0002,0.0000,0.0000,0.0417,0.0001,200,1.0542
0.0469,0.0002,0.0000,0.0000,0.0466,0.0001,200,1.0542
0.0385,0.0002,0.0000,0.0001,0.0381,0.0002,200,1.0674
0.0414,0.0001,0.0000,0.0000,0.0411,0.0001,200,1.0743
0.0421,0.0002,0.0000,0.0001,0.0417,0.0000,200,1.0738
0.0363,0.0002,0.0000,0.0001,0.0359,0.0001,200,1.0926
0.0352,0.0002,0.0000,0.0001,0.0348,0.0001,200,1.0963
0.0390,0.0001,0.0000,0.0000,0.0388,0.0000,200,1.0929
0.0374,0.0001,0.0000,0.0001,0.0370,0.0001,200,1.1011
0.0466,0.0001,0.0000,0.0000,0.0465,0.0001,200,1.0934
0.0445,0.0002,0.0000,0.0001,0.0439,0.0001,200,1.1059
0.0424,0.0002,0.0000,0.0000,0.0420,0.0001,200,1.1157
0.0472,0.0001,0.0000,0.0000,0.0469,0.0001,200,1.1158
0.0383,0.0002,0.0000,0.0001,0.0379,0.0001,200,1.1289
0.0372,0.0001,0.0000,0.0000,0.0369,0.0001,200,1.1319
0.0397,0.0001,0.0000,0.0000,0.0394,0.0001,200,1.1385
0.0506,0.0002,0.0000,0.0001,0.0502,0.0001,200,1.1315
0.0386,0.0002,0.0000,0.0001,0.0381,0.0001,200,1.1504
0.0519,0.0001,0.0000,0.0000,0.0516,0.0001,200,1.1400
0.0380,0.0002,0.0000,0.0001,0.0376,0.0001,200,1.1581
0.0366,0.0002,0.0000,0.0000,0.0362,0.0001,200,1.1631
0.0408,0.0002,0.0000,0.0000,0.0404,0.0001,200,1.1672
0.0352,0.0001,0.0000,0.0000,0.0348,0.0001,200,1.1782
0.0378,0.0002,0.0000,0.0001,0.0374,0.0001,200,1.1821
